State,City,PD,Black People Killed by Police (1/1/2013-12/31/2019),Hispanic People Killed by Police (1/1/2013-12/31/2019),Native American People Killed by Police (1/1/2013-12/31/2019),Asian People Killed by Police (1/1/2013-12/31/2019),Pacific Islanders Killed by Police (1/1/2013-12/31/2019),White People Killed by Police (1/1/2013-12/31/2019),Unknown Race People Killed by Police (1/1/2013-12/31/2019),All People Killed by Police (1/1/2013-12/31/2019),Total,Black,White,Amer. Indian,Asian,Hawaiian,Asian/Pacific Islander,Other,"Two or
more races",Hispanic,Black-White Dissimilarity Index (2010),"Murder and
nonnegligent manslaughter",Murder Rate,Avg Annual Police Homicide Rate,Avg Annual Police Homicide Rate for Black People,Avg Annual Police Homicide Rate for White People,Avg Annual Police Homicide Rate for Hispanic People,Black-White Disparity,Hispanic-White Disparity,Violent crimes 2013 (if reported by agency),Violent crimes 2014 (if reported by agency),Violent crimes 2015 (if reported by agency),Violent crimes 2016 (if reported by agency),Violent crimes 2017 (if reported by agency),Violent crimes 2018 (if reported by agency),Average Violent Crimes Reported (2013-17),Violent Crime Rate,2013 Total Arrests (UCR Data),2014 Total Arrests,2015 Total Arrests,2016 Total Arrests,2017 Total Arrests,2018 Total Arrests,Estimated Average Arrests per Year,Killings by Police per 10k Arrests
Texas,Plano,Plano Police Department,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,259841.0,19199.0,151629.0,831.0,43659.0,121.0,43780.0,449.0,5779.0,38174.0,26.4,26.0,10.0,1.1,0.0,0.9,3.7,0.0,0.0,389.0,459.0,433.0,399.0,435.0,402.0,419.5,1.6,8832.0,3432.0,9163.0,8885.0,9335.0,7657.0,0.0,2.6
Oregon,Portland,Portland Police Bureau,4.0,1.0,0.0,0.0,0.0,13.0,0.0,18.0,583776.0,35462.0,421773.0,4381.0,41335.0,2978.0,44313.0,1299.0,21708.0,54840.0,38.64,12.0,2.1,4.4,16.1,4.4,2.6,0.0,0.0,2941.0,2911.0,680.0,3163.0,3349.0,3418.0,2743.7,4.7,0.0,20160.0,0.0,20322.0,19107.0,20501.0,0.0,9.0
North Carolina,Raleigh,Raleigh Police Department,2.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,403892.0,115976.0,215204.0,1019.0,17309.0,139.0,17448.0,828.0,7549.0,45868.0,50.26,15.0,3.7,1.4,2.5,0.7,3.1,0.0,0.0,1683.0,0.0,0.0,0.0,0.0,0.0,1683.0,4.2,27458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nevada,Reno,Reno Police Department,3.0,5.0,0.0,0.0,0.0,4.0,2.0,14.0,225221.0,5990.0,140752.0,2066.0,13913.0,1505.0,15418.0,441.0,5914.0,54640.0,32.08,12.0,5.3,8.9,71.5,4.1,13.1,0.0,0.0,1154.0,1147.0,1419.0,1717.0,1674.0,1636.0,1457.8,6.5,12196.0,12309.0,11869.0,12044.0,12837.0,14422.0,0.0,11.0
California,Riverside,Riverside Police Department,3.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,303871.0,19917.0,103398.0,1297.0,21934.0,1019.0,22953.0,617.0,6736.0,148953.0,25.41,27.0,8.9,3.8,21.5,0.0,4.8,0.0,0.0,1330.0,1384.0,1441.0,1724.0,1669.0,1686.0,1539.0,5.1,8117.0,11796.0,8500.0,9122.0,7573.0,7443.0,0.0,9.0
New York,Rochester,Rochester Police Department,2.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,210565.0,83346.0,79178.0,666.0,6350.0,77.0,6427.0,392.0,6100.0,34456.0,51.59,28.0,13.3,2.7,3.4,1.8,0.0,0.0,0.0,2107.0,1765.0,1839.0,1845.0,1872.0,1615.0,1840.5,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,Sacramento,Sacramento Police Department,5.0,2.0,0.0,0.0,0.0,5.0,1.0,13.0,466488.0,64967.0,161062.0,2586.0,83841.0,6392.0,90233.0,1253.0,21111.0,125276.0,40.57,103.0,22.1,4.0,11.0,4.4,2.3,0.0,0.0,3137.0,2968.0,3611.0,3549.0,3378.0,3329.0,3328.7,7.1,18467.0,19824.0,18132.0,16282.0,13810.0,14054.0,0.0,7.9
Texas,San Antonio,San Antonio Police Department,8.0,25.0,0.0,1.0,0.0,9.0,4.0,47.0,1327407.0,83365.0,353106.0,2771.0,30596.0,1097.0,31693.0,2105.0,15415.0,838952.0,43.08,43.0,3.2,5.1,13.7,3.6,4.3,0.0,0.0,8828.0,7704.0,8594.0,10754.0,10759.0,9647.0,9381.0,7.1,58324.0,57490.0,50826.0,42077.0,52253.0,61234.0,0.0,8.9
California,San Bernardino,San Bernardino Police Department,0.0,5.0,0.0,1.0,0.0,3.0,1.0,10.0,209924.0,29897.0,39977.0,867.0,8027.0,704.0,8731.0,361.0,4097.0,125994.0,33.1,32.0,15.2,6.8,0.0,10.7,5.7,0.0,0.0,1949.0,2128.0,2697.0,2878.0,2805.0,2906.0,2560.5,12.2,6996.0,7993.0,6337.0,6714.0,8120.0,9195.0,0.0,13.0
California,San Diego,San Diego Police Department,2.0,9.0,0.0,4.0,1.0,12.0,2.0,30.0,1307402.0,82497.0,589702.0,3545.0,204347.0,5178.0,209525.0,3293.0,42820.0,376020.0,54.57,45.0,3.4,3.3,3.5,2.9,3.4,0.0,0.0,5303.0,5214.0,5582.0,5332.0,5221.0,5360.0,5335.3,4.1,41444.0,40118.0,36587.0,35761.0,35725.0,33674.0,0.0,8.2
California,San Francisco,San Francisco Police Department,5.0,7.0,0.0,1.0,0.0,5.0,0.0,18.0,805235.0,46781.0,337451.0,1828.0,265700.0,3128.0,268828.0,2494.0,26079.0,121774.0,52.76,32.0,4.0,3.2,15.3,2.1,8.2,0.0,0.0,7064.0,6761.0,6710.0,6190.0,6301.0,6144.0,6528.3,8.1,17451.0,14699.0,16604.0,15271.0,13950.0,13891.0,0.0,12.1
California,San Jose,San Jose Police Department,1.0,10.0,0.0,1.0,1.0,7.0,2.0,22.0,945942.0,27508.0,271382.0,2255.0,300022.0,3492.0,303514.0,1820.0,25827.0,313636.0,36.76,18.0,1.9,3.3,5.2,3.7,4.6,0.0,0.0,3215.0,3242.0,3400.0,3887.0,4188.0,4444.0,3729.3,3.9,17994.0,17729.0,16232.0,13034.0,13977.0,15392.0,0.0,14.4
California,Santa Ana,Santa Ana Police Department,1.0,10.0,0.0,1.0,0.0,1.0,3.0,16.0,324528.0,3177.0,29950.0,507.0,33618.0,826.0,34444.0,375.0,2147.0,253928.0,24.48,4.0,1.2,7.0,45.0,4.8,5.6,0.0,0.0,1121.0,1260.0,1626.0,1612.0,1640.0,1571.0,1471.7,4.5,8715.0,8641.0,8101.0,7349.0,7397.0,6609.0,0.0,21.0
Arizona,Scottsdale,Scottsdale Police Department,1.0,1.0,0.0,0.0,0.0,4.0,2.0,8.0,217385.0,3484.0,182011.0,1462.0,7128.0,189.0,7317.0,276.0,3610.0,19225.0,23.46,26.0,12.0,5.3,41.0,3.1,7.4,0.0,0.0,337.0,0.0,434.0,369.0,396.0,422.0,391.6,1.8,10468.0,9673.0,8910.0,9066.0,9619.0,9296.0,0.0,8.6
Washington,Seattle,Seattle Police Department,4.0,2.0,1.0,2.0,1.0,10.0,3.0,23.0,608660.0,47113.0,403578.0,3881.0,83537.0,2246.0,85783.0,1464.0,26512.0,40329.0,51.68,10.0,1.6,5.4,12.1,3.5,7.1,0.0,0.0,3758.0,4001.0,4093.0,4294.0,4564.0,5052.0,4293.7,7.1,15100.0,13207.0,14230.0,14569.0,14543.0,15182.0,0.0,16.0
Washington,Spokane,Spokane Police Department,1.0,0.0,2.0,0.0,0.0,11.0,1.0,15.0,208916.0,4643.0,175482.0,3663.0,5266.0,1152.0,6418.0,281.0,7962.0,10467.0,21.73,159.0,76.1,10.3,30.8,9.0,0.0,0.0,0.0,1440.0,1156.0,1111.0,0.0,1360.0,1742.0,1361.8,6.5,10654.0,18510.0,23794.0,0.0,4951.0,5865.0,0.0,11.3
Missouri,St. Louis,St. Louis Metropolitan Police Department,36.0,0.0,0.0,0.0,0.0,3.0,1.0,40.0,319294.0,156389.0,134702.0,684.0,9233.0,62.0,9295.0,478.0,6616.0,11130.0,65.28,11.0,3.4,17.9,32.9,3.2,0.0,0.0,0.0,5077.0,5348.0,5762.0,6017.0,6461.0,5525.0,5698.3,17.8,23094.0,19261.0,20493.0,20163.0,18729.0,16993.0,0.0,20.9
Minnesota,St. Paul,St. Paul Police Department,5.0,1.0,2.0,2.0,0.0,3.0,0.0,13.0,285068.0,43620.0,159437.0,2316.0,42494.0,120.0,42614.0,494.0,9276.0,27311.0,43.44,19.0,6.7,6.5,16.4,2.7,5.2,0.0,0.0,2200.0,1974.0,2115.0,1970.0,1996.0,1941.0,2032.7,7.1,11758.0,9820.0,9659.0,9024.0,9557.0,8632.0,0.0,13.9
Florida,St. Petersburg,St. Petersburg Police Department,2.0,0.0,0.0,0.0,0.0,8.0,0.0,10.0,244769.0,57489.0,157409.0,567.0,7672.0,106.0,7778.0,539.0,4773.0,16214.0,65.7,49.0,20.0,5.8,5.0,7.3,0.0,0.0,0.0,2379.0,2169.0,1898.0,1727.0,1842.0,1660.0,1945.8,7.9,13997.0,13654.0,13491.0,10907.0,10149.0,9753.0,0.0,8.6
California,Stockton,Stockton Police Department,5.0,5.0,0.0,2.0,1.0,3.0,1.0,17.0,291707.0,33507.0,66836.0,1237.0,60323.0,1622.0,61945.0,470.0,10122.0,117590.0,37.25,28.0,9.6,8.3,21.3,6.4,6.1,0.0,0.0,3622.0,3988.0,4122.0,4381.0,4379.0,4383.0,4145.8,14.2,8008.0,7681.0,6261.0,6154.0,7435.0,7327.0,0.0,24.4
Florida,Tampa,Tampa Police Department,4.0,0.0,0.0,2.0,0.0,3.0,0.0,9.0,335709.0,83032.0,155552.0,755.0,11362.0,207.0,11569.0,794.0,6535.0,77472.0,58.69,24.0,7.1,3.8,6.9,2.8,0.0,0.0,0.0,2097.0,2080.0,2298.0,1906.0,1785.0,1598.0,1960.7,5.8,41318.0,38102.0,30983.0,25676.0,22660.0,20310.0,0.0,3.3
Ohio,Toledo,Toledo Police Department,3.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,287208.0,76820.0,176468.0,755.0,3204.0,64.0,3268.0,522.0,8144.0,21231.0,53.45,47.0,16.4,3.5,5.6,3.2,0.0,0.0,0.0,2902.0,3068.0,3156.0,3319.0,0.0,2333.0,2955.6,10.3,0.0,0.0,0.0,0.0,7426.0,8467.0,0.0,8.8
Arizona,Tucson,Tucson Police Department,2.0,10.0,0.0,0.0,0.0,10.0,6.0,28.0,520116.0,23362.0,245323.0,8776.0,14211.0,951.0,15162.0,792.0,10393.0,216308.0,25.65,46.0,8.8,7.7,12.2,5.8,6.6,0.0,0.0,3368.0,0.0,3472.0,4245.0,4268.0,3958.0,3862.2,7.4,31892.0,32313.0,32294.0,33442.0,30569.0,28858.0,0.0,8.9
Oklahoma,Tulsa,Tulsa Police Department,7.0,4.0,0.0,1.0,0.0,14.0,1.0,27.0,391906.0,61230.0,227021.0,19473.0,8926.0,278.0,9204.0,473.0,19239.0,55266.0,49.79,17.0,4.3,9.8,16.3,8.8,10.3,0.0,0.0,3827.0,3217.0,3628.0,4444.0,4214.0,4294.0,3937.3,10.0,16360.0,14739.0,15769.0,14311.0,12666.0,13303.0,0.0,19.1
Virginia,Virginia Beach,Virginia Beach Police Department,3.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,437994.0,83210.0,282470.0,1349.0,26312.0,602.0,26914.0,863.0,14201.0,28987.0,36.36,105.0,24.0,2.0,5.2,1.0,0.0,0.0,0.0,730.0,660.0,626.0,700.0,625.0,528.0,644.8,1.5,24359.0,23247.0,20259.0,19190.0,18668.0,17071.0,0.0,3.0
Kansas,Wichita,Wichita Police Department,1.0,2.0,0.0,0.0,0.0,10.0,0.0,13.0,382368.0,42676.0,246744.0,3424.0,18272.0,311.0,18583.0,472.0,12121.0,58348.0,49.27,15.0,3.9,4.9,3.3,5.8,4.9,0.0,0.0,3065.0,0.0,3839.0,4136.0,3998.0,4622.0,3932.0,10.3,10566.0,9323.0,9307.0,9120.0,8322.0,3931.0,0.0,16.2
North Carolina,Winston-Salem,Winston-Salem Police Department,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,229617.0,78065.0,108222.0,567.0,4536.0,138.0,4674.0,535.0,3801.0,33753.0,50.44,13.0,5.7,1.9,5.5,0.0,0.0,0.0,0.0,1426.0,1696.0,0.0,0.0,0.0,0.0,1561.0,6.8,19742.0,18875.0,16146.0,15432.0,0.0,12786.0,0.0,1.9
United States,Big Cities Average,Big Cities Average,759.0,464.0,19.0,46.0,16.0,528.0,132.0,1964.0,61909961.0,12662657.0,24117461.0,290600.0,5078166.0,176551.0,5254717.0,175145.0,1472712.0,16411918.0,0.0,5731.0,9.3,4.5,8.6,3.1,4.0,0.0,0.0,445359.0,441400.0,459609.0,490035.0,483253.0,480067.0,466620.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8
United States,Nationwide Average,Nationwide Average,1957.0,1338.0,111.0,120.0,42.0,3417.0,641.0,7626.0,318900000.0,42094800.0,196817552.0,0.0,0.0,0.0,0.0,0.0,0.0,50478000.0,0.0,0.0,5.0,3.4,6.6,2.5,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
