Subject's age,Subject's gender,Subject's race,"Dispositions/Exclusions INTERNAL USE, NOT FOR ANALYSIS",Location of death (state),Cause of death,Date (Year),Age Range
60-70,Male,Race unspecified,Unreported,PA,Gunshot,2000,68
10-20,Male,Hispanic/Latino,Unreported,FL,Vehicle,2000,16
10-20,Male,Race unspecified,Unreported,FL,Gunshot,2000,17
40-50,Male,African-American/Black,Unreported,OK,Vehicle,2000,49
Unknown,Male,Race unspecified,Unreported,TX,Gunshot,2000,0
20-30,Male,Race unspecified,Suicide,NJ,Gunshot,2000,29
20-30,Male,Race unspecified,Unreported,MD,Gunshot,2000,27
50-60,Female,Race unspecified,Officer indicted/Acquitted,MS,Vehicle,2000,50
40-50,Male,European-American/White,Justified,AZ,Gunshot,2000,44
40-50,Male,Hispanic/Latino,Unreported,CA,Gunshot,2000,41
40-50,Male,European-American/White,Suicide,KS,Gunshot,2000,43
20-30,Male,Hispanic/Latino,Unknown,CA,Gunshot,2000,25
30-40,Male,Race unspecified,Justified,PA,Gunshot,2000,38
30-40,Male,Race unspecified,Suicide,VA,Gunshot,2000,31
20-30,Male,European-American/White,Unknown,NV,Gunshot,2000,21
10-20,Male,Race unspecified,Unreported,IL,Vehicle,2000,17
20-30,Male,European-American/White,Justified,NY,Gunshot,2000,28
Unknown,Male,Race unspecified,Justified,GA,Gunshot,2000,0
20-30,Male,Race unspecified,Unreported,AZ,Gunshot,2000,26
20-30,Male,African-American/Black,Unreported,OH,Vehicle,2000,24
30-40,Male,Race unspecified,Unreported,MO,Gunshot,2000,34
30-40,Male,Race unspecified,Justified,ME,Gunshot,2000,32
10-20,Male,Race unspecified,Unreported,AR,Vehicle,2000,14
30-40,Male,European-American/White,Unreported,AZ,Gunshot,2000,31
10-20,Male,European-American/White,Criminal,MA,Vehicle,2000,17
10-20,Male,European-American/White,Criminal,MA,Vehicle,2000,17
Unknown,Male,Race unspecified,Unreported,PA,Gunshot,2000,0
20-30,Male,Race unspecified,Justified,OH,Gunshot,2000,29
10-20,Male,Race unspecified,Criminal,TX,Vehicle,2000,15
10-20,Male,Native American/Alaskan,Criminal,NM,Vehicle,2000,18
20-30,Male,Asian/Pacific Islander,Suicide,HI,Gunshot,2000,28
10-20,Male,Race unspecified,Suicide,MO,Gunshot,2000,18
20-30,Male,African-American/Black,Unreported,RI,Gunshot,2000,29
10-20,Male,African-American/Black,Accidental,NJ,Gunshot,2000,15
20-30,Male,African-American/Black,Unknown,CA,Gunshot,2000,26
30-40,Male,European-American/White,Justified,MI,Gunshot,2000,33
30-40,Male,Hispanic/Latino,Grand jury/No bill or Cleared,NE,Gunshot,2000,36
20-30,Male,Native American/Alaskan,Unreported,OK,Gunshot,2000,23
20-30,Male,Race unspecified,Justified,CA,Gunshot,2000,25
20-30,Male,Race unspecified,Unreported,AZ,Gunshot,2000,20
20-30,Female,Asian/Pacific Islander,Unknown,CA,Vehicle,2000,22
20-30,Male,European-American/White,Justified,PA,Gunshot,2000,29
20-30,Male,Race unspecified,Criminal,PA,Vehicle,2000,27
20-30,Male,Race unspecified,Criminal,PA,Vehicle,2000,25
30-40,Male,European-American/White,Unreported,CA,Gunshot,2000,35
30-40,Male,Race unspecified,Unreported,FL,Gunshot,2000,33
20-30,Male,European-American/White,Justified,MS,Gunshot,2000,22
Unknown,Male,Race unspecified,Justified,MI,Gunshot,2000,0
Unknown,Male,Race unspecified,Justified,MI,Gunshot,2000,0
30-40,Male,Race unspecified,Unreported,FL,Gunshot,2000,31
20-30,Male,Race unspecified,Unreported,GA,Vehicle,2000,25
50-60,Male,Race unspecified,Unreported,IL,Gunshot,2000,57
20-30,Male,Hispanic/Latino,Unreported,CA,Gunshot,2000,22
0-10,Male,Race unspecified,Criminal,PA,Stabbed,2000,1
20-30,Female,Asian/Pacific Islander,Murder/suicide,HI,Vehicle,2000,27
20-30,Male,Asian/Pacific Islander,Suicide,HI,Vehicle,2000,27
10-20,Female,Race unspecified,Unreported,KS,Vehicle,2000,15
40-50,Male,Race unspecified,Justified,LA,Gunshot,2000,43
20-30,Male,Race unspecified,Justified,MD,Gunshot,2000,26
20-30,Female,African-American/Black,Unreported,CA,Gunshot,2000,20
70+,Male,Race unspecified,Unknown,CA,Gunshot,2000,88
30-40,Male,Race unspecified,Justified,NY,Gunshot,2000,37
20-30,Male,European-American/White,Justified,NV,Gunshot,2000,23
40-50,Male,European-American/White,Suicide,CA,Gunshot,2000,40
30-40,Male,Race unspecified,Unreported,MD,Gunshot,2000,34
30-40,Male,Race unspecified,Unreported,CO,Gunshot,2000,37
10-20,Male,Race unspecified,Unreported,CO,Vehicle,2000,15
20-30,Male,Hispanic/Latino,Unreported,CA,Gunshot,2000,25
70+,Male,Race unspecified,Cleared,CA,Gunshot,2000,85
40-50,Male,European-American/White,Unreported,MN,Vehicle,2000,48
50-60,Male,Race unspecified,Suicide,CO,Gunshot,2000,56
50-60,Male,European-American/White,Unreported,CA,Gunshot,2000,50
40-50,Male,Race unspecified,Justified,CA,Gunshot,2000,42
40-50,Male,African-American/Black,Justified,OH,Gunshot,2000,48
30-40,Male,European-American/White,Unreported,CO,Vehicle,2000,36
40-50,Male,Race unspecified,District Attorney or Prosecutor/Cleared,OK,Gunshot,2000,44
20-30,Male,Hispanic/Latino,Unreported,CA,Gunshot,2000,24
20-30,Male,Hispanic/Latino,Unreported,PA,Vehicle,2000,28
40-50,Male,Race unspecified,Unreported,NJ,Vehicle,2000,45
40-50,Male,Race unspecified,Accidental,IL,Asphyxiated/Restrained,2000,43
40-50,Female,African-American/Black,Unreported,MO,Vehicle,2000,41
10-20,Male,Race unspecified,Justified,MS,Gunshot,2000,17
20-30,Male,African-American/Black,Unreported,TX,Gunshot,2000,29
20-30,Male,African-American/Black,Suicide,IL,Gunshot,2000,27
20-30,Male,European-American/White,Justified,MI,Gunshot,2000,20
20-30,Male,Asian/Pacific Islander,Suicide,KS,Gunshot,2000,27
20-30,Male,Hispanic/Latino,Unreported,CA,Gunshot,2000,20
40-50,Male,European-American/White,Criminal,CA,Gunshot,2000,43
30-40,Male,European-American/White,Unreported,CA,Vehicle,2000,31
Unknown,Male,Race unspecified,Unreported,GA,Gunshot,2000,0
Unknown,Male,Race unspecified,Unreported,CA,Drowned,2000,0
20-30,Female,European-American/White,Murder/suicide,CA,Gunshot,2000,27
50-60,Male,Race unspecified,Unreported,UT,Vehicle,2000,52
40-50,Male,Race unspecified,Unreported,FL,Gunshot,2000,46
20-30,Male,Race unspecified,Unknown,CA,Gunshot,2000,20
20-30,Male,African-American/Black,Unreported,MO,Gunshot,2000,23
20-30,Male,Race unspecified,Justified,FL,Gunshot,2000,29
Unknown,Male,Race unspecified,Unreported,GA,Vehicle,2000,0
30-40,Male,European-American/White,Justified,TN,Gunshot,2000,35
60-70,Male,Race unspecified,Unreported,MD,Gunshot,2000,63
20-30,Male,Race unspecified,Unreported,MI,Vehicle,2000,27
30-40,Male,African-American/Black,Unreported,MI,Vehicle,2000,33
Unknown,Male,Race unspecified,Unreported,MI,Gunshot,2000,0
20-30,Male,Race unspecified,Unreported,IN,Vehicle,2000,27
40-50,Male,Hispanic/Latino,Unreported,CA,Gunshot,2000,42
30-40,Male,African-American/Black,Unreported,PA,Vehicle,2000,33
10-20,Male,Race unspecified,Grand jury/No bill or Cleared,MO,Gunshot,2000,19
40-50,Male,Race unspecified,Suicide,OK,Gunshot,2000,40
40-50,Male,Race unspecified,Unknown,CA,Gunshot,2000,40
20-30,Male,Race unspecified,Justified,IL,Gunshot,2000,21
40-50,Male,Race unspecified,Suicide,CA,Gunshot,2000,40
10-20,Male,European-American/White,Justified,KS,Gunshot,2000,16
10-20,Male,European-American/White,Grand jury/No bill or Cleared,NE,Vehicle,2000,16
10-20,Male,Race unspecified,Grand jury/No bill or Cleared,NE,Vehicle,2000,16
20-30,Male,African-American/Black,Justified,NY,Gunshot,2000,23
20-30,Male,African-American/Black,Accidental,NY,Drug overdose,2000,24
40-50,Male,Race unspecified,Unreported,IN,Gunshot,2000,44
40-50,Male,Race unspecified,Ruled suicide by police,SC,Gunshot,2000,42
30-40,Male,European-American/White,Criminal,TN,Vehicle,2000,30
20-30,Male,Race unspecified,Suicide,CA,Gunshot,2000,29
30-40,Female,Race unspecified,Unreported,NE,Vehicle,2000,37
20-30,Male,Hispanic/Latino,Unreported,TX,Gunshot,2000,23
40-50,Male,European-American/White,Unreported,TN,Vehicle,2000,49
10-20,Male,European-American/White,Criminal,NC,Vehicle,2000,16
20-30,Female,European-American/White,Unreported,CA,Vehicle,2000,28
30-40,Male,Race unspecified,Suicide,SC,Gunshot,2000,34
20-30,Male,European-American/White,Unreported,OH,Vehicle,2000,28
40-50,Female,European-American/White,Unreported,OH,Vehicle,2000,42
20-30,Male,Race unspecified,Unreported,TX,Vehicle,2000,28
20-30,Male,Race unspecified,Justified,GA,Gunshot,2000,20
70+,Male,Race unspecified,Unreported,AL,Gunshot,2000,74
Unknown,Male,Hispanic/Latino,Unreported,CA,Gunshot,2000,0
Unknown,Male,Race unspecified,Unreported,WA,Gunshot,2000,0
30-40,Male,Race unspecified,Cleared,PA,Gunshot,2000,30
20-30,Male,European-American/White,Unreported,IN,Gunshot,2000,25
30-40,Male,Race unspecified,Suicide,MO,Gunshot,2000,36
60-70,Male,Race unspecified,Unreported,MO,Gunshot,2000,60
30-40,Female,Race unspecified,Criminal,WI,Vehicle,2000,37
30-40,Female,Race unspecified,Criminal,OH,Vehicle,2000,34
30-40,Male,Native American/Alaskan,Criminal,NM,Vehicle,2000,36
30-40,Female,Native American/Alaskan,Criminal,NM,Vehicle,2000,33
0-10,Female,Native American/Alaskan,Criminal,NM,Vehicle,2000,1
10-20,Male,European-American/White,Unreported,AZ,Vehicle,2000,19
20-30,Male,Race unspecified,Cleared,MD,Gunshot,2000,24
40-50,Male,Race unspecified,Unreported,NY,Vehicle,2000,45
20-30,Male,African-American/Black,Justified,OH,Gunshot,2000,23
30-40,Male,European-American/White,Unreported,MO,Vehicle,2000,36
40-50,Male,Race unspecified,Unknown,CA,Gunshot,2000,46
10-20,Male,Race unspecified,Unreported,MI,Vehicle,2000,15
20-30,Male,African-American/Black,Justified,NY,Gunshot,2000,26
40-50,Male,African-American/Black,Justified,IL,Gunshot,2000,40
20-30,Male,European-American/White,Unreported,NJ,Vehicle,2000,24
20-30,Male,African-American/Black,Justified,LA,Gunshot,2000,23
40-50,Male,Race unspecified,Unreported,OK,Gunshot,2000,45
50-60,Male,Hispanic/Latino,Accidental,CA,Fell from a height,2000,59
50-60,Male,Race unspecified,Unreported,CA,Undetermined,2000,51
30-40,Female,Native American/Alaskan,Unreported,OK,Gunshot,2000,36
30-40,Male,European-American/White,Justified,MD,Gunshot,2000,31
Unknown,Male,Race unspecified,Unreported,TX,Gunshot,2000,0
70+,Female,Race unspecified,Cleared,CO,Vehicle,2000,74
60-70,Male,Race unspecified,Cleared,CO,Vehicle,2000,69
30-40,Male,Race unspecified,Unreported,SC,Gunshot,2000,33
10-20,Female,European-American/White,Criminal,SC,Vehicle,2000,10
10-20,Male,Native American/Alaskan,Unknown,WY,Vehicle,2000,13
30-40,Male,Hispanic/Latino,Civil suit/Results unreported,CA,Beaten/Bludgeoned with instrument,2000,36
20-30,Male,Race unspecified,Suicide,TX,Gunshot,2000,20
Unknown,Female,Race unspecified,Unknown,MS,Vehicle,2000,0
Unknown,Male,Race unspecified,Unknown,MS,Vehicle,2000,0
30-40,Male,African-American/Black,Unreported,GA,Vehicle,2000,31
10-20,Male,Race unspecified,Unreported,OH,Gunshot,2000,18
10-20,Male,African-American/Black,Unreported,PA,Vehicle,2000,18
30-40,Male,European-American/White,Unreported,NC,Vehicle,2000,30
30-40,Female,African-American/Black,Unreported,NC,Vehicle,2000,39
10-20,Female,African-American/Black,Criminal,OH,Vehicle,2000,18
10-20,Female,Race unspecified,Criminal,OH,Vehicle,2000,17
10-20,Female,African-American/Black,Criminal,OH,Vehicle,2000,19
20-30,Male,European-American/White,Suicide,IL,Gunshot,2000,28
10-20,Male,Race unspecified,Suicide,CA,Gunshot,2000,18
10-20,Male,European-American/White,Unreported,MA,Vehicle,2000,15
30-40,Male,Race unspecified,Unreported,FL,Gunshot,2000,30
10-20,Male,African-American/Black,Justified,TN,Gunshot,2000,18
40-50,Male,African-American/Black,Unreported,TX,Beaten/Bludgeoned with instrument,2000,40
30-40,Male,African-American/Black,Justified,AL,Gunshot,2000,34
10-20,Male,African-American/Black,Justified,NY,Gunshot,2000,17
10-20,Male,African-American/Black,Justified,NY,Gunshot,2000,19
20-30,Male,Race unspecified,Unreported,UT,Gunshot,2000,28
20-30,Male,Hispanic/Latino,Unreported,CA,Gunshot,2000,26
30-40,Male,Race unspecified,Unreported,MI,Gunshot,2000,35
10-20,Male,European-American/White,Unreported,OH,Vehicle,2000,19
20-30,Male,Hispanic/Latino,Unreported,CA,Gunshot,2000,23
30-40,Female,Race unspecified,Unreported,GA,Gunshot,2000,30
20-30,Male,Race unspecified,Unknown,CA,Vehicle,2000,24
40-50,Male,Race unspecified,Unknown,CA,Gunshot,2000,43
40-50,Male,Race unspecified,Criminal,IN,Vehicle,2000,42
30-40,Female,Race unspecified,Criminal,NH,Vehicle,2000,39
40-50,Male,African-American/Black,Unknown,CA,Gunshot,2000,40
30-40,Male,Race unspecified,Unknown,CA,Gunshot,2000,38
30-40,Male,Race unspecified,Suicide,VA,Gunshot,2000,35
30-40,Male,Race unspecified,Unreported,GA,Gunshot,2000,37
40-50,Male,Race unspecified,Justified,VT,Gunshot,2000,47
20-30,Male,African-American/Black,Justified,MS,Gunshot,2000,20
40-50,Male,European-American/White,Unknown,CA,Vehicle,2000,44
40-50,Male,Race unspecified,Unreported,AR,Gunshot,2000,49
10-20,Female,European-American/White,Cleared,AL,Vehicle,2000,16
40-50,Male,Race unspecified,Justified,PA,Gunshot,2000,41
30-40,Male,Race unspecified,Unreported,VA,Gunshot,2000,36
20-30,Male,Race unspecified,Justified,CO,Gunshot,2000,28
20-30,Male,European-American/White,Justified,TN,Gunshot,2000,29
20-30,Male,African-American/Black,Justified,TN,Gunshot,2000,25
30-40,Female,Race unspecified,Unreported,CA,Gunshot,2000,31
30-40,Male,Race unspecified,Unknown,CA,Gunshot,2000,34
Unknown,Male,European-American/White,Accidental,AZ,Vehicle,2000,0
Unknown,Male,Race unspecified,Unreported,TN,Gunshot,2000,0
10-20,Male,Race unspecified,Unreported,VA,Vehicle,2000,16
10-20,Male,Race unspecified,Unknown,NY,Gunshot,2000,17
40-50,Male,African-American/Black,Justified,WA,Gunshot,2000,40
20-30,Male,Race unspecified,Unknown,CA,Gunshot,2000,23
30-40,Male,European-American/White,Unknown,CA,Vehicle,2000,33
20-30,Male,Race unspecified,Unreported,TN,Gunshot,2000,27
30-40,Male,Race unspecified,Grand jury/No bill or Cleared,MO,Gunshot,2000,37
10-20,Male,Race unspecified,Grand jury/No bill or Cleared,TX,Gunshot,2000,19
40-50,Male,Race unspecified,Unreported,GA,Gunshot,2000,49
20-30,Male,Race unspecified,Unreported,MO,Vehicle,2000,23
60-70,Male,Race unspecified,Criminal,SC,Vehicle,2000,66
30-40,Male,Race unspecified,Unreported,AK,Gunshot,2000,31
30-40,Male,Race unspecified,Unreported,OH,Gunshot,2000,39
40-50,Male,European-American/White,Civil suit/Family awarded money,TX,Gunshot,2000,49
20-30,Male,African-American/Black,Unreported,AR,Gunshot,2000,21
10-20,Male,Race unspecified,Ruled Suicide,IL,Gunshot,2000,19
20-30,Male,Asian/Pacific Islander,Justified,TN,Gunshot,2000,25
40-50,Male,Race unspecified,Unknown,NY,Gunshot,2000,43
20-30,Male,Race unspecified,Other justified (Civilian board/Prosecutor/District Attorney/Coroner),NJ,Gunshot,2000,21
10-20,Female,European-American/White,Unreported,NY,Vehicle,2000,19
40-50,Male,Race unspecified,Unreported,AZ,Gunshot,2000,46
40-50,Male,African-American/Black,Unreported,MO,Vehicle,2000,40
40-50,Male,Race unspecified,Grand jury/No bill or Cleared,TX,Undetermined,2000,40
20-30,Male,European-American/White,Unreported,NJ,Gunshot,2000,28
70+,Male,African-American/Black,Unreported,MO,Vehicle,2000,79
10-20,Male,Race unspecified,Excusable,WA,Gunshot,2000,17
30-40,Male,Race unspecified,Suicide,CA,Fell from a height,2000,39
20-30,Male,Hispanic/Latino,Unreported,CA,Gunshot,2000,22
10-20,Male,African-American/Black,Unreported,CA,Gunshot,2000,17
30-40,Male,African-American/Black,Unreported,CA,Gunshot,2000,30
20-30,Male,Race unspecified,Suicide,GA,Gunshot,2000,21
20-30,Male,European-American/White,Unreported,SC,Vehicle,2000,20
20-30,Male,European-American/White,Unreported,SC,Gunshot,2000,23
40-50,Female,African-American/Black,Unreported,SC,Vehicle,2000,40
30-40,Male,Race unspecified,Justified,MS,Vehicle,2000,32
30-40,Male,Race unspecified,Unreported,NM,Vehicle,2000,32
10-20,Female,African-American/Black,Unreported,TX,Vehicle,2000,12
10-20,Female,African-American/Black,Unreported,TX,Vehicle,2000,11
10-20,Male,Race unspecified,Unreported,FL,Vehicle,2000,16
10-20,Male,Race unspecified,Unreported,FL,Vehicle,2000,18
30-40,Male,African-American/Black,Unreported,CA,Gunshot,2000,33
40-50,Male,Hispanic/Latino,Justified,CO,Gunshot,2000,43
30-40,Male,Race unspecified,Accidental,TN,Chemical agent/Pepper spray,2000,32
30-40,Male,Race unspecified,Unknown,CA,Gunshot,2000,37
20-30,Male,European-American/White,Officer indicted/Acquitted,WV,Gunshot,2000,29
40-50,Female,Race unspecified,Unknown,CA,Vehicle,2000,45
30-40,Male,Race unspecified,Justified,IL,Gunshot,2000,39
40-50,Male,Race unspecified,Unreported,PA,Asphyxiated/Restrained,2000,45
40-50,Female,Race unspecified,Criminal,FL,Vehicle,2000,41
30-40,Male,Race unspecified,Unreported,CA,Gunshot,2000,37
40-50,Female,Asian/Pacific Islander,Unknown,CA,Gunshot,2000,44
30-40,Male,Race unspecified,Justified,CA,Gunshot,2000,35
20-30,Male,Asian/Pacific Islander,Unknown,CA,Vehicle,2000,22
20-30,Male,Race unspecified,Unknown,CA,Vehicle,2000,22
20-30,Male,Race unspecified,Unreported,MO,Gunshot,2000,21
30-40,Male,Race unspecified,Suicide,NJ,Gunshot,2000,33
50-60,Male,Race unspecified,Criminal,LA,Gunshot,2000,54
30-40,Male,Race unspecified,Unknown,ME,Gunshot,2000,37
30-40,Male,Race unspecified,Unreported,CO,Gunshot,2000,37
10-20,Male,African-American/Black,Criminal,NJ,Vehicle,2000,17
10-20,Male,African-American/Black,Unreported,FL,Gunshot,2000,19
30-40,Male,Race unspecified,Unreported,OH,Gunshot,2000,39
20-30,Male,Race unspecified,Unreported,PA,Vehicle,2000,24
50-60,Male,Race unspecified,Unreported,AL,Gunshot,2000,51
20-30,Male,Hispanic/Latino,Justified,CA,Gunshot,2000,23
30-40,Male,Race unspecified,Unknown,CA,Gunshot,2000,38
20-30,Male,European-American/White,Suicide,NJ,Gunshot,2000,24
20-30,Female,European-American/White,Murder/suicide,NJ,Gunshot,2000,23
20-30,Male,Race unspecified,Justified,GA,Gunshot,2000,25
30-40,Male,Race unspecified,Suicide,NE,Asphyxiated/Restrained,2000,36
50-60,Male,Race unspecified,Justified,OR,Gunshot,2000,54
20-30,Male,African-American/Black,Justified,IL,Gunshot,2000,20
30-40,Male,Race unspecified,Suicide,CA,Gunshot,2000,30
20-30,Male,Race unspecified,Other justified (Civilian board/Prosecutor/District Attorney/Coroner),VA,Gunshot,2000,21
20-30,Female,European-American/White,Unreported,CO,Vehicle,2000,21
20-30,Male,European-American/White,Unreported,CO,Vehicle,2000,24
30-40,Male,Hispanic/Latino,Unreported,CA,Medical emergency,2000,34
60-70,Male,Race unspecified,Unreported,FL,Gunshot,2000,65
30-40,Male,European-American/White,Justified,MN,Gunshot,2000,34
20-30,Male,Native American/Alaskan,Unreported,OK,Gunshot,2000,28
20-30,Female,Race unspecified,Unreported,LA,Vehicle,2000,27
20-30,Male,Race unspecified,Unreported,MI,Gunshot,2000,25
20-30,Male,European-American/White,Suicide,MI,Gunshot,2000,22
40-50,Male,Race unspecified,Unreported,FL,Gunshot,2000,43
20-30,Male,African-American/Black,Justified,SC,Gunshot,2000,20
30-40,Male,Race unspecified,Criminal,NY,Vehicle,2000,36
50-60,Male,Race unspecified,Unreported,MD,Gunshot,2000,51
50-60,Male,Race unspecified,Justified,SC,Gunshot,2000,53
40-50,Male,African-American/Black,Unreported,MD,Gunshot,2000,42
20-30,Male,Race unspecified,Unknown,CA,Drowned,2000,27
30-40,Male,European-American/White,Unreported,CA,Gunshot,2000,31
20-30,Male,African-American/Black,Justified,TN,Gunshot,2000,23
30-40,Male,Hispanic/Latino,Unreported,CA,Gunshot,2000,34
20-30,Male,Race unspecified,Criminal,NJ,Vehicle,2000,27
10-20,Male,European-American/White,Unknown,CA,Vehicle,2000,16
20-30,Male,Race unspecified,Unreported,MA,Gunshot,2000,21
30-40,Male,Race unspecified,Unreported,MT,Gunshot,2000,33
30-40,Female,Race unspecified,Unknown,CA,Vehicle,2000,33
70+,Male,Race unspecified,Cleared,IA,Vehicle,2000,75
20-30,Male,Race unspecified,Criminal,SC,Vehicle,2000,22
30-40,Male,Race unspecified,Unreported,NY,Vehicle,2000,38
20-30,Male,Race unspecified,Ruled suicide by police,SC,Gunshot,2000,20
40-50,Male,African-American/Black,Unreported,FL,Gunshot,2000,48
50-60,Female,Race unspecified,Unreported,MI,Vehicle,2000,50
10-20,Male,Race unspecified,Unreported,MD,Gunshot,2000,18
Unknown,Male,Race unspecified,Unreported,IL,Gunshot,2000,0
30-40,Male,African-American/Black,Cleared,PA,Drug overdose,2000,31
20-30,Male,Race unspecified,Cleared,NJ,Vehicle,2000,22
30-40,Male,Race unspecified,Unreported,MD,Gunshot,2000,39
30-40,Male,Race unspecified,Unreported,NC,Vehicle,2000,34
10-20,Male,Race unspecified,Justified,FL,Gunshot,2000,19
30-40,Male,Native American/Alaskan,Justified by Prosecuting Attorney,OK,Gunshot,2000,34
10-20,Male,Race unspecified,Accidental,GA,Gunshot,2000,16
50-60,Female,European-American/White,Accidental,IL,Drowned,2000,50
30-40,Female,Race unspecified,Unreported,TX,Gunshot,2000,36
20-30,Male,Asian/Pacific Islander,Unknown,CA,Gunshot,2000,26
40-50,Male,Race unspecified,Justified,MT,Gunshot,2000,48
40-50,Male,European-American/White,Unreported,MN,Gunshot,2000,42
10-20,Male,Race unspecified,Criminal,VA,Vehicle,2000,16
20-30,Male,Race unspecified,Unknown,LA,Gunshot,2000,20
70+,Male,Race unspecified,Unreported,FL,Vehicle,2000,85
30-40,Male,Race unspecified,Unreported,NM,Gunshot,2000,37
20-30,Male,European-American/White,Unknown,ID,Gunshot,2000,27
60-70,Male,African-American/Black,Justified,LA,Gunshot,2000,68
30-40,Male,Race unspecified,Justified,FL,Beaten/Bludgeoned with instrument,2000,39
40-50,Male,Hispanic/Latino,Unreported,CA,Gunshot,2000,43
20-30,Male,Race unspecified,Unreported,MO,Asphyxiated/Restrained,2000,22
30-40,Male,Race unspecified,Accidental,CA,Drowned,2000,31
20-30,Male,African-American/Black,Unreported,CO,Vehicle,2000,28
30-40,Male,Race unspecified,Unreported,SC,Gunshot,2000,31
40-50,Male,Race unspecified,Unreported,AL,Vehicle,2000,40
30-40,Male,Race unspecified,Suicide,CA,Gunshot,2000,38
10-20,Female,African-American/Black,Unreported,TX,Asphyxiated/Restrained,2000,15
20-30,Male,European-American/White,Unknown,CA,Gunshot,2000,25
30-40,Male,African-American/Black,Justified,MO,Gunshot,2000,36
40-50,Female,European-American/White,Unreported,MN,Gunshot,2000,49
30-40,Male,African-American/Black,Justified,MO,Gunshot,2000,36
20-30,Male,Race unspecified,Justified,TN,Gunshot,2000,26
40-50,Male,Race unspecified,Criminal,PA,Vehicle,2000,45
Unknown,Unknown,Race unspecified,Unreported,IL,Vehicle,2000,0
20-30,Male,Race unspecified,Unknown,MS,Vehicle,2000,20
20-30,Male,Race unspecified,Unknown,MS,Vehicle,2000,20
20-30,Male,Race unspecified,Unknown,MS,Vehicle,2000,20
40-50,Male,African-American/Black,Unreported,CA,Gunshot,2000,47
20-30,Male,European-American/White,Unreported,TX,Gunshot,2000,27
20-30,Male,Race unspecified,Unreported,KS,Gunshot,2000,27
10-20,Male,African-American/Black,Justified,IL,Gunshot,2000,17
30-40,Transgender,Hispanic/Latino,Unreported,TX,Medical emergency,2000,31
10-20,Female,Race unspecified,Unreported,TN,Vehicle,2000,18
40-50,Male,Race unspecified,Unreported,KY,Vehicle,2000,49
40-50,Male,Race unspecified,Unreported,IL,Asphyxiated/Restrained,2000,44
20-30,Female,African-American/Black,Unknown,CA,Vehicle,2000,25
20-30,Male,Race unspecified,Unreported,OH,Gunshot,2000,23
20-30,Male,Race unspecified,Unreported,WA,Gunshot,2000,25
10-20,Male,Race unspecified,Unreported,PA,Vehicle,2000,17
40-50,Male,Race unspecified,Justified,ID,Gunshot,2000,48
10-20,Female,Race unspecified,Unreported,MO,Vehicle,2000,16
30-40,Male,African-American/Black,Justified,KY,Gunshot,2000,37
10-20,Male,Hispanic/Latino,Unreported,NM,Gunshot,2000,19
40-50,Male,Race unspecified,Justified,FL,Medical emergency,2000,48
40-50,Male,Race unspecified,Unreported,NC,Gunshot,2000,43
30-40,Male,European-American/White,Unreported,AZ,Gunshot,2000,31
